    271 ascii with confidence 1.0
      1 windows-1251 with confidence 0.9525205873632474
      1 windows-1251 with confidence 0.9541163420216577
      1 windows-1251 with confidence 0.9549882572786963
      1 windows-1251 with confidence 0.9555088748181051
      1 windows-1251 with confidence 0.9555346222560176
      1 windows-1251 with confidence 0.9555383657218292
      1 windows-1251 with confidence 0.9557628071550995
      1 windows-1251 with confidence 0.9560907621966872
      1 windows-1251 with confidence 0.9562442875765674
      1 windows-1251 with confidence 0.9564595437208261
      1 windows-1251 with confidence 0.9564898915159212
      1 windows-1251 with confidence 0.9576083599032019
      1 windows-1251 with confidence 0.9582449280529585
      1 windows-1251 with confidence 0.9587205982417825
      1 windows-1251 with confidence 0.9587592937890503
      1 windows-1251 with confidence 0.9595059955093054
      1 windows-1251 with confidence 0.9598120939476419
      1 windows-1251 with confidence 0.9601300113092386
      1 windows-1251 with confidence 0.9608966422297937
      1 windows-1251 with confidence 0.9610373813909973
      1 windows-1251 with confidence 0.9616176539312158
      1 windows-1251 with confidence 0.9617901023947388
      1 windows-1251 with confidence 0.9627519595325245
      1 windows-1251 with confidence 0.9630969037736093
      1 windows-1251 with confidence 0.9642521549156893
      1 windows-1251 with confidence 0.964736010799148
      1 windows-1251 with confidence 0.9653030476118454
      1 windows-1251 with confidence 0.9653163933713074
      1 windows-1251 with confidence 0.9656247359187412
      1 windows-1251 with confidence 0.9657411908333395
      1 windows-1251 with confidence 0.9659164172133881
      1 windows-1251 with confidence 0.9663876039463469
      1 windows-1251 with confidence 0.9668430104721051
      1 windows-1251 with confidence 0.9676254631443613
      1 windows-1251 with confidence 0.9676572350466628
      1 windows-1251 with confidence 0.9680559208138393
      1 windows-1251 with confidence 0.9683328567650218
      1 windows-1251 with confidence 0.9687922617950437
      1 windows-1251 with confidence 0.9692520982455519
      1 windows-1251 with confidence 0.9694428156515573
      1 windows-1251 with confidence 0.9695705484292828
      1 windows-1251 with confidence 0.9698326673923879
      1 windows-1251 with confidence 0.9700670192357282
      1 windows-1251 with confidence 0.9705351621910376
      1 windows-1251 with confidence 0.9706530644092041
      1 windows-1251 with confidence 0.9707083595295753
      1 windows-1251 with confidence 0.970790733812896
      1 windows-1251 with confidence 0.9710613478737312
      1 windows-1251 with confidence 0.9710741766250881
      1 windows-1251 with confidence 0.9714674298022044
      1 windows-1251 with confidence 0.971897568116907
      1 windows-1251 with confidence 0.9719815504096422
      1 windows-1251 with confidence 0.9721870351578331
      1 windows-1251 with confidence 0.9722691369659003
      1 windows-1251 with confidence 0.9724301736411837
      1 windows-1251 with confidence 0.9728666882765937
      1 windows-1251 with confidence 0.9730517342342293
      1 windows-1251 with confidence 0.9730884016639348
      1 windows-1251 with confidence 0.9732156385772722
      1 windows-1251 with confidence 0.9732986490015123
